Time ;Illuminance ;Temperature ;Control No ;Load Resistance ;Vbus2 ;V_sens1 ;I_sens2;Pbus2;P_sens1;Parallel   
1,00;9132,74;33,18;255 ;5,29;0,030;0,031;6,02;0,18;0,19
2,87;9137,04;33,18;238 ;10,00;0,059;0,060;5,99;0,35;0,36
4,75;9162,85;33,18;34 ;20,00;0,118;0,120;6,00;0,71;0,72
6,63;9165,00;33,18;148 ;22,03;0,131;0,133;6,00;0,79;0,80
8,51;9162,85;33,18;56 ;24,26;0,145;0,146;6,03;0,87;0,88
10,40;9143,50;33,12;24 ;28,61;0,172;0,171;6,02;1,04;1,03
12,28;9152,10;33,12;132 ;31,65;0,191;0,192;6,02;1,15;1,16
14,15;9167,15;33,12;112 ;41,79;0,249;0,253;6,02;1,50;1,52
16,03;9190,80;33,12;48 ;47,60;0,284;0,288;6,01;1,71;1,73
17,91;9156,40;33,12;208 ;51,16;0,305;0,308;6,02;1,84;1,86
19,79;9154,25;33,06;144 ;60,22;0,363;0,361;6,02;2,19;2,17
21,67;9156,40;33,06;244 ;18,41;0,111;0,111;6,04;0,67;0,67
23,54;9184,35;33,06;96 ;103,94;0,616;0,624;5,98;3,68;3,73
25,42;9190,80;33,06;192 ;194,69;1,116;1,117;5,74;6,41;6,42
27,31;9162,85;33,06;128 ;470,82;1,735;1,658;3,68;6,38;6,10
29,19;9195,11;33,00;0 ;42949672,95;1,909;1,910;0,00;0,00;0,00
